date,winning_team,losing_team,home_team,away_team,score,venue
2024-10-26T15:05,STINGS AICHI,SAKAI,SAKAI,STINGS AICHI,3-0,Nippon Steel Sakai Gymnasium
2024-10-27T13:05,OSAKA B,WD NAGOYA,OSAKA B,WD NAGOYA,3-1,Panasonic Arena
2024-10-27T13:05,STINGS AICHI,SAKAI,SAKAI,STINGS AICHI,3-2,Nippon Steel Sakai Gymnasium
2024-10-27T13:05,Tokyo GB,HIROSHIMA,HIROSHIMA,Tokyo GB,3-1,Shimane Prefectural Hamayama Gymnasium
2024-10-27T13:35,VOREAS,TRshizuoka,VOREAS,TRshizuoka,3-1,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2024-11-02T14:05,WD NAGOYA,VC NAGANO,VC NAGANO,WD NAGOYA,3-0,Swan Dome
2024-11-02T14:05,STINGS AICHI,TRshizuoka,STINGS AICHI,TRshizuoka,3-0,Okazaki Central Park Gymnasium
2024-11-02T14:05,HIROSHIMA,VOREAS,HIROSHIMA,VOREAS,3-0,FPCO Arena Fukuyama
2024-11-02T15:05,OSAKA B,SAKAI,SAKAI,OSAKA B,3-1,Ohama Daishin Arena
2024-11-03T13:05,WD NAGOYA,VC NAGANO,VC NAGANO,WD NAGOYA,3-0,Swan Dome
2024-11-03T13:05,OSAKA B,SAKAI,SAKAI,OSAKA B,3-0,Ohama Daishin Arena
2024-11-03T13:05,HIROSHIMA,VOREAS,HIROSHIMA,VOREAS,3-1,FPCO Arena Fukuyama
2024-11-03T14:05,STINGS AICHI,TRshizuoka,STINGS AICHI,TRshizuoka,3-1,Okazaki Central Park Gymnasium
2024-11-03T19:05,Tokyo GB,SUNTORY,SUNTORY,Tokyo GB,3-2,Ariake Arena
2024-11-04T16:05,SUNTORY,Tokyo GB,SUNTORY,Tokyo GB,3-0,Ariake Arena
2024-11-09T13:35,OSAKA B,VOREAS,VOREAS,OSAKA B,3-0,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2024-11-09T14:05,VC NAGANO,HIROSHIMA,VC NAGANO,HIROSHIMA,3-2,ANC Arena
2024-11-09T14:05,SUNTORY,TRshizuoka,TRshizuoka,SUNTORY,3-1,Koryo Arena
2024-11-09T15:05,STINGS AICHI,Tokyo GB,Tokyo GB,STINGS AICHI,3-2,Yoyogi National Stadium 2nd Gymnasium
2024-11-09T15:35,WD NAGOYA,SAKAI,WD NAGOYA,SAKAI,3-0,ENTRIO
2024-11-10T13:05,OSAKA B,VOREAS,VOREAS,OSAKA B,3-0,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2024-11-10T13:05,HIROSHIMA,VC NAGANO,VC NAGANO,HIROSHIMA,3-0,ANC Arena
2024-11-10T14:05,STINGS AICHI,Tokyo GB,Tokyo GB,STINGS AICHI,3-2,Yoyogi National Stadium 2nd Gymnasium
2024-11-10T14:05,SUNTORY,TRshizuoka,TRshizuoka,SUNTORY,3-0,Koryo Arena
2024-11-10T14:35,WD NAGOYA,SAKAI,WD NAGOYA,SAKAI,3-0,ENTRIO
2024-11-16T14:05,WD NAGOYA,TRshizuoka,TRshizuoka,WD NAGOYA,3-0,Shiwa Town General Gymnasium
2024-11-16T14:05,OSAKA B,STINGS AICHI,OSAKA B,STINGS AICHI,3-0,Asue Arena Osaka
2024-11-16T14:05,SUNTORY,HIROSHIMA,HIROSHIMA,SUNTORY,3-0,IHI Arena Kure
2024-11-16T15:05,Tokyo GB,VC NAGANO,Tokyo GB,VC NAGANO,3-1,Arena Tachikawa Tachihi
2024-11-17T13:05,SUNTORY,HIROSHIMA,HIROSHIMA,SUNTORY,3-0,IHI Arena Kure
2024-11-17T14:05,Tokyo GB,VC NAGANO,Tokyo GB,VC NAGANO,3-0,Arena Tachikawa Tachihi
2024-11-17T14:05,WD NAGOYA,TRshizuoka,TRshizuoka,WD NAGOYA,3-0,Shiwa Town General Gymnasium
2024-11-17T14:05,STINGS AICHI,OSAKA B,OSAKA B,STINGS AICHI,3-2,Asue Arena Osaka
2024-11-23T13:05,Tokyo GB,SAKAI,SAKAI,Tokyo GB,3-1,Wakayama Prefectural Gymnasium
2024-11-23T13:35,VC NAGANO,VOREAS,VOREAS,VC NAGANO,3-1,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2024-11-23T14:05,SUNTORY,STINGS AICHI,STINGS AICHI,SUNTORY,3-1,JTEKT Arena Nara
2024-11-23T14:05,WD NAGOYA,HIROSHIMA,HIROSHIMA,WD NAGOYA,3-1,Kirin Lemon Stadium Salt Arena Hofu
2024-11-24T13:05,Tokyo GB,SAKAI,SAKAI,Tokyo GB,3-0,Wakayama Prefectural Gymnasium
2024-11-24T13:05,WD NAGOYA,HIROSHIMA,HIROSHIMA,WD NAGOYA,3-2,Kirin Lemon Stadium Salt Arena Hofu
2024-11-24T13:10,VC NAGANO,VOREAS,VOREAS,VC NAGANO,3-2,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2024-11-24T14:05,STINGS AICHI,SUNTORY,STINGS AICHI,SUNTORY,3-1,JTEKT Arena Nara
2024-11-28T19:05,SUNTORY,SAKAI,SUNTORY,SAKAI,3-0,EDION Arena Osaka
2024-11-29T19:05,SUNTORY,SAKAI,SUNTORY,SAKAI,3-2,EDION Arena Osaka
2024-11-30T14:05,OSAKA B,VC NAGANO,VC NAGANO,OSAKA B,3-0,Swan Dome
2024-11-30T14:05,TRshizuoka,VOREAS,TRshizuoka,VOREAS,3-0,Koryo Arena
2024-11-30T14:05,STINGS AICHI,HIROSHIMA,STINGS AICHI,HIROSHIMA,3-2,Okazaki Central Park Gymnasium
2024-11-30T15:35,WD NAGOYA,Tokyo GB,WD NAGOYA,Tokyo GB,3-1,ENTRIO
2024-12-01T13:05,OSAKA B,VC NAGANO,VC NAGANO,OSAKA B,3-0,Swan Dome
2024-12-01T14:05,TRshizuoka,VOREAS,TRshizuoka,VOREAS,3-2,Koryo Arena
2024-12-01T14:05,STINGS AICHI,HIROSHIMA,STINGS AICHI,HIROSHIMA,3-1,Okazaki Central Park Gymnasium
2024-12-01T14:35,WD NAGOYA,Tokyo GB,WD NAGOYA,Tokyo GB,3-2,ENTRIO
2024-12-07T14:05,OSAKA B,Tokyo GB,OSAKA B,Tokyo GB,3-1,Panasonic Arena
2024-12-07T14:05,HIROSHIMA,TRshizuoka,HIROSHIMA,TRshizuoka,3-2,FPCO Arena Fukuyama
2024-12-07T15:05,SAKAI,VC NAGANO,SAKAI,VC NAGANO,3-0,Nippon Steel Sakai Gymnasium
2024-12-07T15:35,WD NAGOYA,SUNTORY,WD NAGOYA,SUNTORY,3-1,ENTRIO
2024-12-07T18:35,STINGS AICHI,VOREAS,VOREAS,STINGS AICHI,3-2,Hokkai Kitael
2024-12-08T13:05,SAKAI,VC NAGANO,SAKAI,VC NAGANO,3-0,Nippon Steel Sakai Gymnasium
2024-12-08T13:05,HIROSHIMA,TRshizuoka,HIROSHIMA,TRshizuoka,3-1,FPCO Arena Fukuyama
2024-12-08T14:05,Tokyo GB,OSAKA B,OSAKA B,Tokyo GB,3-0,Panasonic Arena
2024-12-08T14:35,SUNTORY,WD NAGOYA,WD NAGOYA,SUNTORY,3-2,ENTRIO
2024-12-08T18:35,STINGS AICHI,VOREAS,VOREAS,STINGS AICHI,3-0,Hokkai Kitael
2024-12-27T18:05,OSAKA B,VOREAS,OSAKA B,VOREAS,3-0,Panasonic Arena
2024-12-28T14:05,Tokyo GB,VC NAGANO,VC NAGANO,Tokyo GB,3-0,Kotobuki Arena Chikuma
2024-12-28T14:05,SAKAI,TRshizuoka,TRshizuoka,SAKAI,3-1,Shiwa Town General Gymnasium
2024-12-28T14:05,STINGS AICHI,HIROSHIMA,STINGS AICHI,HIROSHIMA,3-1,Okazaki Central Park Martial Arts Arena
2024-12-28T16:05,OSAKA B,VOREAS,OSAKA B,VOREAS,3-1,Panasonic Arena
2024-12-29T12:05,TRshizuoka,SAKAI,TRshizuoka,SAKAI,3-2,Shiwa Town General Gymnasium
2024-12-29T13:05,Tokyo GB,VC NAGANO,VC NAGANO,Tokyo GB,3-0,Kotobuki Arena Chikuma
2024-12-29T13:05,WD NAGOYA,SUNTORY,SUNTORY,WD NAGOYA,3-2,EDION Arena Osaka
2024-12-29T14:05,HIROSHIMA,STINGS AICHI,STINGS AICHI,HIROSHIMA,3-2,Okazaki Central Park Martial Arts Arena
2024-12-30T13:05,SUNTORY,WD NAGOYA,SUNTORY,WD NAGOYA,3-1,EDION Arena Osaka
2025-01-03T13:35,Tokyo GB,VOREAS,VOREAS,Tokyo GB,3-0,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2025-01-04T13:05,SUNTORY,TRshizuoka,SUNTORY,TRshizuoka,3-1,EDION Arena Osaka
2025-01-04T13:35,Tokyo GB,VOREAS,VOREAS,Tokyo GB,3-2,Recruit Staffing RICK&SUE Asahikawa Gymnasium
2025-01-04T14:05,OSAKA B,STINGS AICHI,OSAKA B,STINGS AICHI,3-1,Panasonic Arena
2025-01-04T15:05,HIROSHIMA,SAKAI,SAKAI,HIROSHIMA,3-2,Nippon Steel Sakai Gymnasium
2025-01-04T15:35,WD NAGOYA,VC NAGANO,WD NAGOYA,VC NAGANO,3-0,ENTRIO
2025-01-05T13:05,SUNTORY,TRshizuoka,SUNTORY,TRshizuoka,3-1,EDION Arena Osaka
2025-01-05T13:05,HIROSHIMA,SAKAI,SAKAI,HIROSHIMA,3-1,Nippon Steel Sakai Gymnasium
2025-01-05T14:05,OSAKA B,STINGS AICHI,OSAKA B,STINGS AICHI,3-1,Panasonic Arena
2025-01-05T14:35,WD NAGOYA,VC NAGANO,WD NAGOYA,VC NAGANO,3-0,ENTRIO
2025-01-11T13:05,SUNTORY,HIROSHIMA,SUNTORY,HIROSHIMA,3-0,Asue Arena Osaka
2025-01-11T14:05,VC NAGANO,TRshizuoka,VC NAGANO,TRshizuoka,3-0,Swan Dome
2025-01-11T15:05,Tokyo GB,VOREAS,Tokyo GB,VOREAS,3-1,Ariake Coliseum
2025-01-11T15:05,OSAKA B,SAKAI,SAKAI,OSAKA B,3-1,Kitakyushu City General Gymnasium
2025-01-11T15:35,WD NAGOYA,STINGS AICHI,WD NAGOYA,STINGS AICHI,3-0,ENTRIO
2025-01-12T13:05,TRshizuoka,VC NAGANO,VC NAGANO,TRshizuoka,3-1,Swan Dome
2025-01-12T13:05,SUNTORY,HIROSHIMA,SUNTORY,HIROSHIMA,3-0,Asue Arena Osaka
2025-01-12T13:05,OSAKA B,SAKAI,SAKAI,OSAKA B,3-0,Kitakyushu City General Gymnasium
2025-01-12T14:05,VOREAS,Tokyo GB,Tokyo GB,VOREAS,3-2,Ariake Coliseum
2025-01-12T14:35,WD NAGOYA,STINGS AICHI,WD NAGOYA,STINGS AICHI,3-1,ENTRIO
